idx,abs_rel,sq_rel,rms,log_rms,a1,a2,a3
0,0.22715712,0.4116262,65.2594,6.436056,77.5561333018199,82.03734341763177,83.59725833136375
1,0.12708591,0.06012359,45.116013,2.1190987,84.76409912109375,92.70477294921875,95.86639404296875
2,0.0948731,0.013490367,31.072609,0.13870585,96.90399169921875,99.69635009765625,99.93743896484375
3,0.22686145,0.20279242,40.47886,4.8085275,71.00665160243149,79.70306482925432,84.21437891855766
4,0.103212096,0.055619586,59.939194,3.15872,92.72124227348108,93.76752600633198,94.4127845620383
5,0.21097662,7.1959286,49.515114,0.99499834,73.5617323852618,93.55434481484902,96.81564933665774
6,0.10531294,0.061136972,72.34405,4.0628834,92.31487328738915,93.12209988742758,93.49001949424782
7,0.22166787,1.438807,64.08419,4.136217,75.37294627557706,88.29755065013607,91.83046063904848
8,0.21239534,0.09631542,67.96051,0.30337182,63.00811767578125,90.72265625,97.47772216796875
9,0.44556782,0.41745153,119.26532,8.292682,47.08383090518271,65.75750338348858,69.17124432768091
10,0.093463674,0.015426948,39.099636,0.12003626,93.8812255859375,99.8443603515625,100.0
11,0.42146346,322.09598,50.580093,7.534403,62.148694119532124,64.92549270950168,67.17673449767665
12,0.42928934,1927.9089,69.08553,3.19862,81.1441041610475,91.23409263663783,93.37469043473996
13,0.19319987,0.05174434,102.015785,0.24292159,63.09661865234375,94.317626953125,99.23553466796875
14,0.6962903,132.85838,77.70921,0.5706864,54.89643338644442,73.5797891898517,91.07886995955387
15,0.30821663,0.37806827,116.96528,0.38146368,62.36114501953125,82.855224609375,92.04559326171875
16,0.63779634,384.83224,77.9242,2.6868327,71.94764855289341,81.92613204342129,86.2084027631728
17,0.15672486,0.09830361,62.207096,4.2202888,80.15771098358681,83.72928287651993,87.35503029816606
18,0.11615221,0.04808099,84.23946,0.25300574,88.922119140625,96.79412841796875,98.0010986328125
19,0.14734744,0.027407272,110.479004,0.15459299,93.66607666015625,99.90386962890625,99.9847412109375
20,0.060358573,0.010042595,39.960648,0.1393577,97.52349853515625,99.0966796875,99.69940185546875
21,0.054684557,0.026778756,52.49238,2.79162,96.34967981477233,97.07348616007175,97.2612169124549
22,0.94933254,25803.926,56.988056,2.1781766,89.23017434138633,94.12249289689144,95.20687278290546
23,0.08588907,0.013697233,50.376476,0.15084638,94.8089599609375,98.98834228515625,99.652099609375
24,0.13885672,0.034767203,93.83369,0.19887775,85.52093505859375,97.31292724609375,98.84796142578125
25,0.22202843,58.57783,74.54312,0.6400646,67.50940050747455,92.54532114579193,98.04652869065453
26,0.114688754,0.03186087,57.26949,0.21678224,84.9609375,96.86431884765625,98.822021484375
27,0.15013994,0.038196877,70.74433,0.14816156,77.734375,98.956298828125,99.81842041015625
28,0.093224384,0.01271804,54.74398,0.118995085,93.853759765625,99.67803955078125,100.0
29,0.15349872,1.1077775,51.06685,3.0776286,90.19589269475598,93.2081691421643,94.73704152773567
30,0.17379177,0.53748876,44.105915,3.4939978,85.42483214614363,90.09917862376878,92.35370300944071
31,0.16186075,0.1911522,128.69775,2.5815082,92.83789793089015,97.04151298752257,97.38941641162468
32,0.11721803,0.042574324,63.86427,2.852966,92.51706448467377,96.29456904226905,96.8457201000551
33,0.53237534,0.3298458,388.82175,0.24420992,7.84149169921875,57.64617919921875,95.92132568359375
34,0.15352426,0.05750072,66.094795,0.25289443,77.2552490234375,95.27587890625,97.10540771484375
35,0.24950999,4.0301857,137.20831,2.361495,71.76877219685439,91.63654236428209,94.59982242516489
36,0.7933977,955.0224,66.58712,4.5049973,73.492252681764,80.3953118792213,83.9491458085022
37,0.13019088,0.024033424,86.19892,0.14549728,91.04461669921875,99.5361328125,99.9481201171875
38,2.317279,35403.37,66.965675,8.913752,57.61360266253666,58.99429927175668,60.61225162289517
39,0.18132916,5.826273,55.107613,2.3986762,77.91842475386778,93.0789092512123,96.95404832378193
40,0.11850472,0.021622876,70.35425,0.15056571,90.62042236328125,98.809814453125,99.75433349609375
